smiles,compound_name
C=CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C,Compound_1
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)[S@SP1](C)(=O)=O)n2)cc1,Compound_2
Cl.O=[S@SP2](=O)(c1cccc2c(I)cccc12)N1CCCNCC1,Compound_3
C[S@SP3](=O)(=O)n1cc2c(n1)CN(C1COC(c3cc(F)ccc3F)C(N)C1)C2,Compound_4
COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC.Cl,Compound_5
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2ccc3c(N)ncnc32)C(O)C1O,Compound_6
CCC(C)SSc1ncc[nH]1,Compound_7
CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,Compound_8
CN(C)CCC1C=Nc2ccc(C[S@SP3](=O)(=O)N3CCCC3)cc21.O=C(O)CC(O)C(=O)O,Compound_9
CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Compound_10
CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,Compound_11
O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,Compound_12
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,Compound_13
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(=O)c2c(O)c(O)cc(C3Oc4cc(O)cc(O)c4CC3O)c2c1)c1cc(O)c(O)c(O)c1,Compound_14
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,Compound_15
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,Compound_16
C/C(=C\C(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,Compound_17
CC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1,Compound_18
CCCCC(CC)COC(=O)c1ccccc1C(=O)O,Compound_19
Nc1c([S@SP2](=O)(=O)O)cc([S@SP3](=O)(=O)[O-])c2cccc(O)c12.[Na+],Compound_20
Cl.O=C(NC1CN2CCC1CC2)c1cc2cccc(Cl)c2s1,Compound_21
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1.Cl,Compound_22
COc1cc2c(cc1O)C(Cc1ccc(O)c(Oc3ccc(CC4c5cc(OC)c(OC)cc5CCN4C)cc3)c1)N(C)CC2,Compound_23
CC(C)C(C)C(O)C(O)C(C)C1CCC2C3COC(=O)C4CC(O)C(O)CC4(C)C3CCC12C,Compound_24
CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,Compound_25
O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21,Compound_26
O=C1C(Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)C2CN1Cc1cccc2ccccc12,Compound_27
COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,Compound_28
Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,Compound_29
OCc1ccccc1,Compound_31
OCc1cccnc1,Compound_32
CC(=O)Oc1cccc(O)c1,Compound_33
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,Compound_34
CC(=O)OCC(COC(C)=O)OC(C)=O,Compound_35
C/C=C/c1ccc(OC)cc1,Compound_36
COC(=O)c1ccccc1O,Compound_37
O=C(OCc1ccccc1)c1ccccc1,Compound_38
CC(=O)Oc1ccccc1,Compound_39
CCCCCC(C)N,Compound_40
CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,Compound_41
CCN(CC)C(=O)c1cccc(C)c1,Compound_42
CCN(CC)CCOCCO,Compound_43
Clc1cnccn1,Compound_44
FC(F)(F)C(Cl)Br,Compound_45
CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,Compound_46
CC(C)c1cccc(C(C)C)c1O,Compound_47
CC(O)([P@SP2](=O)(O)O)[P@SP2](=O)(O)O,Compound_48
CCOC(=O)N1CCC(=O)CC1,Compound_49
Fc1cccc2ccccc12,Compound_50
FC(F)(F)COCC(F)(F)F,Compound_51
CCO[P@SP3](=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Compound_52
NCc1cccnc1,Compound_53
C/C=C/c1ccc(OC)cc1,Compound_54
C/C=C/C(=O)N(CC)c1ccccc1C,Compound_55
CCOC(=S)SSC(=S)OCC,Compound_56
CN1C(=O)CCC1c1cccnc1,Compound_57
CC1CCCC(C)N1,Compound_58
O=C1CCc2ccccc2C1,Compound_59
CC1CCCCCCCCCCCCC(=O)C1,Compound_60
CC(C)CCCC(C)N,Compound_61
CNCCc1ccccn1.Cl.Cl,Compound_62
CCCCC(O)c1ccccc1,Compound_63
OCc1ccccn1,Compound_64
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Compound_65
CCN(CC)C(=O)c1cccnc1,Compound_66
NCCS,Compound_67
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,Compound_68
CC(=O)OCC[N+](C)(C)C.[Cl-],Compound_69
S=C=NCc1ccccc1,Compound_70
NCCc1ccccc1,Compound_71
C=C1C(=O)OC2C1CCC(=C)C1CCC(=C)C12,Compound_72
CC1=CN=NC1,Compound_73
